number,date,name,phonetic,region,kg,max,median,min,reference_price,average_price
self,,合挽肉,合挽肉,,1,,1510,,1510,1510
105173,2024/2/29,こまつな,コマツナ,各地,0.2,54,43,,43,215
104896,2024/2/29,キャベツ,キャベツ,各地,10,540,0,0,54,54
105084,2024/2/29,だいこん,ダイコン,各地,10,540,,,54,54
104843,2024/2/29,こまつな,コマツナ,各地,0.5,,54,,54,108
104888,2024/2/29,にんじん,ニンジン,各地,10,648,,,64.8,64.8
104920,2024/2/29,みずな,ミズナ,各地,0.2,162,65,38,65,325
104908,2024/2/29,こまつな,コマツナ,各地,0.5,108,76,65,76,152
104904,2024/2/29,はくさい,ハクサイ,各地,13,1080,,,83.07692308,83.07692308
105051,2024/2/29,こまつな,コマツナ,各地,0.25,97,85,68,85,340
104863,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,151,86,76,86,860
105135,2024/2/29,だいこん,ダイコン,各地,10,1188,,648,91.8,91.8
104842,2024/2/29,こまつな,コマツナ,各地,0.5,108,97,76,97,194
104841,2024/2/29,はくさい,ハクサイ,各地,15,1620,,1296,97.2,97.2
105257,2024/2/29,ピーマン,ピーマン,各地,0.15,,102,,102,680
105207,2024/2/29,キャベツ,キャベツ,各地,10,1296,,864,108,108
104912,2024/2/29,ほうれんそう,ホウレンソウ,各地,0.25,119,108,43,108,432
105184,2024/2/29,ピーマン,ピーマン,各地,0.15,119,108,,108,720
104862,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,119,108,97,108,1080
104957,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,194,108,43,108,1080
105117,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,162,108,76,108,1080
104899,2024/2/29,キャベツ,キャベツ,各地,10,1134,,,113.4,113.4
104834,2024/2/29,にんじん,ニンジン,各地,10,1404,,864,113.4,113.4
104906,2024/2/29,はくさい,ハクサイ,各地,13,1512,,,116.3076923,116.3076923
104853,2024/2/29,なす,ナス,各地,0.4,259,119,108,119,297.5
104942,2024/2/29,ピーマン,ピーマン,各地,0.15,184,119,108,119,793.3333333
105112,2024/2/29,ピーマン,ピーマン,各地,0.15,130,119,108,119,793.3333333
105261,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,,129,,129,1290
105154,2024/2/29,ピーマン,ピーマン,各地,0.15,140,130,108,130,866.6666667
104959,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,146,130,70,130,1300
105159,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,194,130,86,130,1300
105085,2024/2/29,だいこん,ダイコン,各地,10,1404,,,140.4,140.4
104900,2024/2/29,レタス,レタス,各地,10,1404,,,140.4,140.4
104855,2024/2/29,ミニトマト,ミニトマト,各地,0.2,162,151,140,151,755
104938,2024/2/29,ミニトマト,ミニトマト,各地,0.2,248,151,86,151,755
105189,2024/2/29,なましいたけ,ナマシイタケ,各地,0.1,216,151,65,151,1510
104840,2024/2/29,レタス,レタス,各地,10,2257,,842,154.95,154.95
